DB00006	P00734
DB00142	P49915
DB00142	P54687
DB00142	P80404
DB00142	Q05586
DB00142	Q05932
DB00142	Q07075
DB00142	Q12879
DB00142	Q13224
DB00142	Q14957
DB00142	Q5JPH6
DB00142	Q5TDP6
DB00142	Q6IA69
DB00142	Q6YP21
DB00142	Q8N159
DB00142	Q8N5Z0
DB00142	Q8TCU5
DB00142	Q8TD30
DB00142	Q9H1K4
DB00142	Q9H936
DB00142	Q9UDR5
DB00142	Q9UI32
DB00142	Q9ULA0
DB00142	Q9ULK0
DB00142	Q9UPY5
DB00142	Q9Y646
DB00142	Q9Y617
DB00142	P00367
DB00142	P39086
DB00142	P42261
DB00142	P48507
DB00142	Q04609
DB00142	Q05329
DB00142	Q99259
DB00142	O95954
DB00142	P42262
DB00142	P42263
DB00142	P48058
DB00142	P54886
DB00142	Q13002
DB00142	Q13003
DB00143	O14880
DB00143	O60760
DB00143	O95881
DB00143	P08263
DB00143	P09210
DB00143	P10620
DB00143	P10768
DB00143	P19440
DB00143	P28161
DB00143	P35754
DB00143	P36969
DB00143	P46439
DB00143	P59796
DB00143	Q16775
DB00143	Q6NSD4
DB00143	Q8TED1
DB00143	Q96SL4
DB00143	Q99735
DB00143	Q9H4Y5
DB00143	Q04760
DB00143	Q16873
DB00143	P00390
DB00143	P48637
DB00143	P09488
DB00143	Q9Y2Q3
DB00143	Q16772
DB00143	P21266
DB00143	O15217
DB00143	Q03013
DB00143	Q7RTV2
DB00143	P09211
DB00143	P78417
DB00143	P07203
DB00143	P18283
DB00143	P30711
DB00143	O43708
DB00143	O75715
DB00143	P22352
DB00143	P15121
DB00143	P14780
DB00143	P08684
DB00144	P49619
DB00144	Q16760
DB00144	Q9BVG9
DB00144	Q9NXE4
DB00144	Q9NY59
DB00144	Q9Y2Q0
DB00144	P17252
DB00144	P48651
DB00144	Q9UG56
DB00144	Q8WTV0
DB00145	O75600
DB00145	P13196
DB00145	P22557
DB00145	P23434
DB00145	P41250
DB00145	Q12879
DB00145	Q14032
DB00145	Q14330
DB00145	P48637
DB00145	Q14957
DB00145	Q6IB77
DB00145	Q7Z2H8
DB00145	P34897
DB00145	Q8WU03
DB00145	Q969I3
DB00145	Q9BYV1
DB00145	Q9H598
DB00145	Q9P0Z9
DB00145	Q9Y345
DB00145	O60391
DB00145	P23378
DB00145	P48067
DB00145	P23415
DB00145	P21549
DB00145	P48167
DB00145	P34896
DB00145	O75311
DB00145	P23416
DB00145	Q14749
DB00145	P50440
DB00146	P11473
DB00147	O00764
DB00149	Q15031
DB00149	O15382
DB00149	P54687
DB00149	O60294
DB00149	Q9UIC8
DB00149	Q9P2J5
DB00150	Q9UGM6
DB00150	P23381
DB00151	P48507
DB00151	P48506
DB00151	P17174
DB00151	P32929
DB00151	P35520
DB00151	P49589
DB00151	P16455
DB00151	P48637
DB00151	Q9BZV2
DB00151	Q9HA77
DB00151	Q9Y600
DB00151	Q9Y697
DB00151	Q16878
DB00152	Q9H3S4
DB00152	O60779
DB00153	P11473
DB00154	P23219
DB00154	P35354
DB00155	P00966
DB00155	O95865
DB00155	O94760
DB00155	P00480
DB00155	P29475
DB00155	P35228
DB00155	P29474
DB00155	Q9ULC6
DB00155	Q9ULW8
DB00155	Q9Y2J8
DB00155	Q9UM07
DB00156	Q8IYQ7
DB00156	P26639
DB00156	Q9BW92
DB00158	P14207
DB00158	P15328
DB00159	P35354
DB00159	P23219
DB00159	P37231
DB00159	Q03181
DB00159	O60427
DB00159	O60488
DB00159	O95573
DB00159	O14842
DB00159	P32418
DB00159	Q8NER1
DB00159	Q07869
DB00160	P21549
DB00160	P80404
DB00160	Q16719
DB00160	Q5JTZ9
DB00160	Q8IUZ5
DB00160	Q8TD30
DB00160	P24298
DB00160	Q9Y697
DB00160	Q7Z2H8
DB00160	Q9UHI5
DB00160	Q9BYV1
DB00160	P49588
DB00160	P43007
DB00161	P05166
DB00161	P54687
DB00161	P26640
DB00162	Q96NR8
DB00162	O75911
DB00162	P47895
DB00162	Q6NUM9
DB00162	Q8TC12
DB00162	Q9BTZ2
DB00162	Q9HBH5
DB00162	Q9NYR8
DB00162	O95237
DB00162	P09455
DB00162	Q92781
DB00162	Q8NBN7
DB00162	P10745
DB00162	O94788
DB00162	P00352
DB00162	P12271
DB00162	P05090
DB00162	O60760
DB00163	O75469
DB00163	P05771
DB00163	P09917
DB00163	P17252
DB00163	P23743
DB00163	P62714
DB00163	P67775
DB00163	Q9UDX3
DB00163	Q9UDX4
DB00163	O76054
DB00165	O00764
DB00166	Q9Y234
DB00166	O43766
DB00166	Q9Y289
DB00167	Q9NSE4
DB00167	P45954
DB00167	P54687
DB00167	O15382
DB00167	P41252
DB00168	Q8NER1
DB00168	Q8TE23
DB00168	Q7RTX0
DB00169	P11473
DB00170	P38435
DB00170	Q9BQB6
DB00170	Q8N0U8
DB00170	P00734
DB00170	P08709
DB00170	P00740
DB00170	P00742
DB00170	P04070
DB00170	P07225
DB00170	P22891
DB00170	P16083
DB00170	P15559
DB00170	P02818
DB00172	O15460
DB00172	O43272
DB00172	O43447
DB00172	O94903
DB00172	P13674
DB00172	P23284
DB00172	P30405
DB00172	P45877
DB00172	P62937
DB00172	Q13427
DB00172	Q32P28
DB00172	Q7L3T8
DB00172	Q8IVL5
DB00172	Q8IVL6
DB00172	Q53H96
DB00172	Q96EM0
DB00172	P32322
DB00172	P07814
DB00172	Q9UN76
DB00172	Q99884
DB00172	Q96C36
DB00173	P07741
DB00173	O00763
DB00173	P24666
DB00173	Q9BY49
DB00173	P78362
DB00173	Q13126
DB00174	Q15758
DB00174	Q7L266
DB00174	Q96I59
DB00174	P08243
DB00174	O43776
DB00175	P04035
DB00176	P31645
DB00176	Q12809
DB00177	P30556
DB00178	P12821
DB00178	P46663
DB00179	P09917
DB00179	P04278
DB00180	P04150
DB00181	Q9UBS5
DB00181	O75899
DB00182	Q05940
DB00182	Q01959
DB00182	Q16568
DB00182	Q96RJ0
DB00182	P23975
DB00182	P35348
DB00182	P35368
DB00182	P25100
DB00182	P08913
DB00182	P18089
DB00182	P18825
DB00182	P08588
DB00182	P07550
DB00182	P13945
DB00182	P14416
DB00182	P27338
DB00182	P31645
DB00182	P21397
DB00182	P27338
DB00183	P32239
DB00184	P43681
DB00184	P36544
DB00184	P17787
DB00184	Q15822
DB00184	P32297
DB00184	P30532
DB00184	Q15825
DB00184	Q9UGM1
DB00184	Q9GZZ6
DB00184	Q05901
DB00184	P30926
DB00184	P11511
DB00184	P28329
DB00185	P20309
DB00185	P11229
DB00186	P14867
DB00186	P47869
DB00186	P34903
DB00186	P48169
DB00186	P31644
DB00186	Q16445
DB00186	P18505
DB00186	P47870
DB00186	P28472
DB00186	O14764
DB00186	P78334
DB00186	Q8N1C3
DB00186	P18507
DB00186	Q99928
DB00186	O00591
DB00186	Q9UN88
DB00186	P30536
DB00187	P08588
DB00188	P28074
DB00188	P20618
DB00189	P14867
DB00189	P47869
DB00189	P34903
DB00189	P48169
DB00189	P31644
DB00189	Q16445
DB00189	P18505
DB00189	P47870
DB00189	P28472
DB00189	O14764
DB00189	P78334
DB00189	Q8N1C3
DB00189	P18507
DB00189	Q99928
DB00189	O00591
DB00189	Q9UN88
DB00190	P20711
DB00191	P23975
DB00191	P31645
DB00191	Q01959
DB00191	P21397
DB00191	P27338
DB00192	Q14524
DB00193	P35372
DB00193	P23975
DB00193	P31645
DB00193	P28335
DB00193	P41145
DB00193	P41143
DB00193	Q8TCU5
DB00193	Q693P7
DB00193	P20309
DB00195	P08588
DB00195	P07550
DB00198	P23141
DB00198	Q99519
DB00198	Q9Y3R4
DB00199	O43193
DB00199	Q12809
DB00199	P02768
DB00200	Q99707
DB00200	P22033
DB00200	Q9UBK8
DB00200	Q8IVH4
DB00200	P20061
DB00200	Q9BXJ7
DB00200	O60494
DB00200	Q96EY8
DB00200	Q9Y4U1
DB00201	P30542
DB00201	P29274
DB00201	Q07343
DB00201	P21817
DB00201	P54750
DB00201	Q01064
DB00201	Q14123
DB00201	Q9Y233
DB00201	P27815
DB00201	Q07343
DB00201	Q08493
DB00201	Q08499
DB00201	Q9NP56
DB00201	O00408
DB00201	Q14432
DB00201	Q13370
DB00201	O76074
DB00201	P51160
DB00201	Q9HCR9
DB00201	Q13946
DB00201	O60658
DB00201	O95263
DB00201	O76083
DB00201	P16499
DB00201	P35913
DB00201	P78527
DB00201	O00329
DB00201	P42336
DB00201	P42338
DB00201	Q14643
DB00201	Q14571
DB00201	Q14573
DB00201	Q13315
DB00202	Q9GZZ6
DB00202	Q693P7
DB00202	P11229
DB00202	P08172
DB00202	P20309
DB00203	O76074
DB00203	P18545
DB00203	Q13956
DB00204	Q12809
DB00204	O95069
DB00204	Q14500
DB00205	P00374
DB00205	P07686
DB00206	Q05940
DB00206	P54219
DB00206	O15392
DB00207	Q9UM07
DB00208	Q9H244
DB00209	P11229
DB00210	P13631
DB00210	P10826
DB00210	P48443
DB00210	P28702
DB00210	P10276
DB00210	P19793
DB00211	P35348
DB00211	P35368
DB00211	P25100
DB00212	P00797
DB00213	P20648
DB00214	Q13621
DB00215	P31645
DB00215	P35367
DB00215	P35348
DB00215	P11229
DB00215	P28335
DB00216	P28221
DB00216	P28222
DB00216	P30939
DB00216	P08908
DB00216	P28566
DB00216	P41595
DB00216	P34969
DB00217	P08913
DB00217	P18089
DB00217	P18825
DB00217	P48048
DB00217	P08588
DB00217	P07550
DB00217	P13945
DB00218	P11388
DB00219	P11229
DB00221	P08588
DB00221	P07550
DB00222	Q14654
DB00222	P48048
DB00222	Q09428
DB00223	P04150
DB00226	P23975
DB00227	P04035
DB00227	P20701
DB00227	Q92769
DB00228	P14867
DB00228	P47869
DB00228	P34903
DB00228	P48169
DB00228	P31644
DB00228	Q16445
DB00228	P18505
DB00228	P47870
DB00228	P28472
DB00228	O14764
DB00228	P78334
DB00228	Q8N1C3
DB00228	P18507
DB00228	Q99928
DB00228	O00591
DB00228	Q9UN88
DB00228	P23415
DB00228	P48167
DB00228	O15554
DB00228	Q09470
DB00228	P98194
DB00228	P42261
DB00228	P30049
DB00230	O00555
DB00231	P14867
DB00231	P47869
DB00231	P34903
DB00231	P48169
DB00231	P31644
DB00231	Q16445
DB00231	P18505
DB00231	P47870
DB00231	P28472
DB00231	Q8N1C3
DB00231	P18507
DB00231	Q99928
DB00231	O14764
DB00231	P78334
DB00231	O00591
DB00231	P24046
DB00231	P28476
DB00231	A8MPY1
DB00231	Q9UN88
DB00231	P30536
DB00231	P14867
DB00231	P47869
DB00231	P34903
DB00231	P48169
DB00231	P31644
DB00231	Q16445
DB00231	P18505
DB00231	P47870
DB00231	P28472
DB00231	O14764
DB00231	P78334
DB00231	Q8N1C3
DB00231	P18507
DB00231	Q99928
DB00231	O00591
DB00231	Q9UN88
DB00232	Q13621
DB00232	P00915
DB00232	P00918
DB00232	P22748
DB00233	P35354
DB00233	O15111
DB00233	P09917
DB00233	Q9NZK7
DB00234	P23975
DB00235	Q14432
DB00237	P14867
DB00237	P47869
DB00237	P34903
DB00237	P48169
DB00237	P31644
DB00237	Q16445
DB00237	P18505
DB00237	P47870
DB00237	P28472
DB00237	O14764
DB00237	P78334
DB00237	Q8N1C3
DB00237	P18507
DB00237	Q99928
DB00237	O00591
DB00237	Q9UN88
DB00237	P43681
DB00237	P36544
DB00237	P42262
DB00237	Q13002
DB00239	O75469
DB00240	P04150
DB00241	P14867
DB00241	P47869
DB00241	P34903
DB00241	P48169
DB00241	P31644
DB00241	Q16445
DB00241	P43681
DB00241	P36544
DB00241	P42262
DB00241	Q13002
DB00241	P14867
DB00241	P47869
DB00241	P34903
DB00241	P48169
DB00241	P31644
DB00241	Q16445
DB00241	P18505
DB00241	P47870
DB00241	P28472
DB00241	O14764
DB00241	P78334
DB00241	Q8N1C3
DB00241	P18507
DB00241	Q99928
DB00241	O00591
DB00241	Q9UN88
DB00242	P23921
DB00242	P31350
DB00242	Q7LG56
DB00242	P09884
DB00242	Q07864
DB00242	P56282
DB00242	Q9NRF9
DB00242	Q9NR33
DB00242	P00491
DB00243	Q14524
DB00243	Q15858
DB00244	P35354
DB00244	P23219
DB00244	P09917
DB00244	P37231
DB00244	O15111
DB00244	O14920
DB00244	P05164
DB00245	P11229
DB00245	Q01959
DB00245	P35367
DB00246	P14416
DB00246	P28223
DB00246	P21728
DB00246	P21918
DB00246	P35462
DB00246	P21917
DB00246	P08908
DB00246	P28222
DB00246	P28221
DB00246	P28566
DB00246	P28335
DB00246	P46098
DB00246	P50406
DB00246	P34969
DB00246	P35367
DB00246	P35348
DB00246	P35368
DB00246	P08913
DB00246	P18089
DB00246	P18825
DB00246	P11229
DB00246	P08172
DB00246	P20309
DB00246	P08173
DB00246	P08912
DB00247	P41595
DB00247	P28335
DB00247	P28223
DB00247	P08908
DB00247	P34969
DB00247	P28222
DB00247	P30939
DB00247	P28566
DB00248	P14416
DB00248	P41595
DB00248	P35462
DB00248	P28223
DB00248	P18089
DB00248	P28221
DB00248	P21917
DB00248	P08913
DB00248	P08908
DB00248	P18825
DB00248	P21918
DB00248	P21728
DB00248	P28222
DB00248	P28335
DB00248	P34969
DB00248	P35348
DB00248	P35368
DB00248	P25100
DB00248	P08588
DB00248	P07550
DB00248	P21728
DB00248	P21918
DB00252	Q14524
DB00252	P35498
DB00252	O75469
DB00252	Q07699
DB00252	Q9NY46
DB00253	P04150
DB00254	Q9UM07
DB00254	P61769
DB00255	P03372
DB00255	P62508
DB00255	Q92731
DB00255	P11474
DB00255	O95718
DB00255	Q15596
DB00255	O75469
DB00255	P10275
DB00255	P04278
DB00257	O15554
DB00257	O75469
DB00257	Q14994
DB00261	Q14432
DB00262	P00390
DB00264	P08588
DB00264	P07550
DB00266	Q9BQB6
DB00266	P15559
DB00266	Q08257
DB00268	P35462
DB00268	P14416
DB00268	P21917
DB00268	P08908
DB00268	P28221
DB00268	P41595
DB00268	P21728
DB00268	P21918
DB00268	P28222
DB00268	P28223
DB00268	P28335
DB00268	P08913
DB00268	P18089
DB00268	P18825
DB00270	Q13936
DB00270	P54289
DB00270	Q08289
DB00270	O95180
DB00270	Q9NY47
DB00270	Q01668
DB00270	Q13698
DB00272	P25021
DB00273	P14867
DB00273	P35498
DB00273	P39086
DB00273	P00918
DB00273	P22748
DB00273	P14867
DB00273	P47869
DB00273	P34903
DB00273	P48169
DB00273	P31644
DB00273	Q16445
DB00273	P18505
DB00273	P47870
DB00273	P28472
DB00273	O14764
DB00273	P78334
DB00273	Q8N1C3
DB00273	P18507
DB00273	Q99928
DB00273	O00591
DB00273	Q9UN88
DB00273	P00915
DB00273	P07451
DB00275	P30556
DB00276	P11388
DB00276	Q12809
DB00276	P02763
DB00276	P02768
DB00277	P30542
DB00277	P29274
DB00277	P29275
DB00277	Q07343
DB00277	O76074
DB00277	P27815
DB00277	Q14432
DB00277	Q92769
DB00277	Q99829
DB00277	Q15155
DB00277	P09874
DB00277	Q7Z5B4
DB00277	Q9Y4R7
DB00278	P00734
DB00279	P10827
DB00279	P10828
DB00279	P12004
DB00280	Q14524
DB00280	P11229
DB00280	P08172
DB00280	P20309
DB00280	Q9NZV8
DB00280	Q9UK17
DB00280	Q12809
DB00280	P19652
DB00281	Q9Y5Y9
DB00281	Q15858
DB00281	Q14524
DB00281	P00533
DB00281	P35499
DB00281	P02763
DB00281	P19652
DB00282	P14324
DB00283	P35367
DB00284	O43451
DB00284	P04746
DB00284	P10253
DB00284	P14410
DB00285	P31645
DB00285	P23975
DB00285	Q01959
DB00287	P43088
DB00288	P04150
DB00288	P04083
DB00289	P23975
DB00289	P31645
DB00289	Q01959
DB00289	Q05586
DB00289	Q12879
DB00289	Q13224
DB00289	Q14957
DB00289	O15399
DB00289	Q8TCU5
DB00289	O60391
DB00290	P18858
DB00290	P49916
DB00292	P14867
DB00292	P18089
DB00292	P14867
DB00292	P47869
DB00292	P34903
DB00292	P48169
DB00292	P31644
DB00292	Q16445
DB00292	P18505
DB00292	P47870
DB00292	P28472
DB00292	O14764
DB00292	P78334
DB00292	Q8N1C3
DB00292	P18507
DB00292	Q99928
DB00292	O00591
DB00292	Q9UN88
DB00293	P04818
DB00293	Q05932
DB00294	P06401
DB00294	P03372
DB00295	P35372
DB00295	P41145
DB00295	P41143
DB00295	Q9Y6Y9
DB00296	Q9Y5Y9
DB00297	Q9Y5Y9
DB00297	P34995
DB00298	P35348
DB00298	P25100
DB00298	P35368
DB00302	P00747
DB00304	P06401
DB00304	P03372
DB00306	P14867
DB00306	P47869
DB00306	P34903
DB00306	P48169
DB00306	P31644
DB00306	Q16445
DB00306	P43681
DB00306	P36544
DB00306	P42262
DB00306	Q13002
DB00306	P14867
DB00306	P47869
DB00306	P34903
DB00306	P48169
DB00306	P31644
DB00306	Q16445
DB00306	P18505
DB00306	P47870
DB00306	P28472
DB00306	O14764
DB00306	P78334
DB00306	Q8N1C3
DB00306	P18507
DB00306	Q99928
DB00306	O00591
DB00306	Q9UN88
DB00307	P19793
DB00307	P28702
DB00307	P48443
DB00308	Q13936
DB00308	Q02641
DB00308	Q12809
DB00308	P54289
DB00308	Q06432
DB00308	O00180
DB00308	Q9Y257
DB00308	Q9H252
DB00308	Q9NS40
DB00308	Q14654
DB00309	Q9H4B7
DB00310	Q13621
DB00312	P14867
DB00312	P47869
DB00312	P34903
DB00312	P48169
DB00312	P31644
DB00312	Q16445
DB00312	P43681
DB00312	P36544
DB00312	P42262
DB00312	Q13002
DB00312	P14867
DB00312	P47869
DB00312	P34903
DB00312	P48169
DB00312	P31644
DB00312	Q16445
DB00312	P18505
DB00312	P47870
DB00312	P28472
DB00312	O14764
DB00312	P78334
DB00312	Q8N1C3
DB00312	P18507
DB00312	Q99928
DB00312	O00591
DB00312	Q9UN88
DB00312	Q05586
DB00312	Q12879
DB00312	Q13224
DB00312	Q14957
DB00312	O15399
DB00312	Q8TCU5
DB00312	O60391
DB00312	O75469
DB00313	Q9UKV0
DB00313	P80404
DB00313	P45954
DB00313	Q02218
DB00313	P51649
DB00313	P35498
DB00313	Q9Y5Y9
DB00313	Q9UI33
DB00313	Q99250
DB00313	Q9NY46
DB00313	P35499
DB00313	Q14524
DB00313	Q01118
DB00313	Q9UQD0
DB00313	Q15858
DB00313	Q07699
DB00313	O60939
DB00313	Q9NY72
DB00313	Q8IWT1
DB00313	Q92769
DB00313	Q07869
DB00313	Q03181
DB00313	P37231
DB00315	P28222
DB00315	P28221
DB00315	P30939
DB00315	P08908
DB00316	P23219
DB00316	P35354
DB00316	O00519
DB00316	Q8NER1
DB00316	P09211
DB00317	P00533
DB00318	P35372
DB00318	P41145
DB00318	P41143
DB00320	P28221
DB00320	P28222
DB00320	P08913
DB00320	P41595
DB00321	P23975
DB00321	P31645
DB00321	P28223
DB00321	P08908
DB00321	P41143
DB00321	P41145
DB00321	P04629
DB00321	Q16620
DB00321	P35348
DB00321	P25100
DB00321	P08913
DB00321	P35367
DB00321	P11229
DB00321	P08172
DB00321	P20309
DB00321	P08173
DB00321	P08912
DB00321	O43526
DB00321	Q09470
DB00321	Q9NZV8
DB00321	Q9UK17
DB00321	P25021
DB00321	Q9H3N8
DB00321	Q99720
DB00321	P28335
DB00321	P35368
DB00321	P34969
DB00321	P28221
DB00321	P35372
DB00321	P28222
DB00321	P50406
DB00321	O43525
DB00321	P08588
DB00321	P07550
DB00321	P13945
DB00322	P04818
DB00323	P21964
DB00324	P04150
DB00325	P16066
DB00327	P35372
DB00327	P41143
DB00327	P41145
DB00328	P23219
DB00328	P35354
DB00328	P14555
DB00328	Q8N8N7
DB00328	P37231
DB00328	Q04760
DB00328	Q9Y5Y4
DB00328	Q07869
DB00328	P42330
DB00331	Q9Y478
DB00332	P11229
DB00332	P08172
DB00332	P20309
DB00333	P35372
DB00333	Q8TCU5
DB00333	Q9GZZ6
DB00333	P41143
DB00333	P46098
DB00333	Q9Y6Y9
DB00333	P19652
DB00334	P28223
DB00334	P14416
DB00334	P21728
DB00334	P21918
DB00334	P35462
DB00334	P21917
DB00334	P08908
DB00334	P28222
DB00334	P28221
DB00334	P28566
DB00334	P28335
DB00334	P46098
DB00334	P50406
DB00334	P34969
DB00334	P35367
DB00334	P35348
DB00334	P35368
DB00334	P08913
DB00334	P18089
DB00334	P18825
DB00334	P11229
DB00334	P08172
DB00334	P20309
DB00334	P08173
DB00334	P08912
DB00334	P41595
DB00334	P47898
DB00334	P21728
DB00334	P21918
DB00334	P25021
DB00334	Q9H3N8
DB00334	P14867
DB00334	P47869
DB00334	P34903
DB00334	P48169
DB00334	P31644
DB00334	Q16445
DB00334	P18505
DB00334	P47870
DB00334	P28472
DB00334	O14764
DB00334	P78334
DB00334	Q8N1C3
DB00334	P18507
DB00334	Q99928
DB00334	O00591
DB00334	Q9UN88
DB00334	P08588
DB00334	P07550
DB00334	P13945
DB00335	P08588
DB00335	P07550
DB00337	P42345
DB00337	P62942
DB00338	P20648
DB00338	P35869
DB00340	P11229
DB00340	P08173
DB00340	P08912
DB00340	P08172
DB00340	P20309
DB00341	P35367
DB00343	Q06432
DB00344	P23975
DB00344	P31645
DB00346	P35348
DB00346	P35368
DB00346	P25100
DB00346	Q12809
DB00347	O43497
DB00348	P32754
DB00349	P14867
DB00349	P47869
DB00349	P34903
DB00349	P48169
DB00349	P31644
DB00349	Q16445
DB00349	P18505
DB00349	P47870
DB00349	P28472
DB00349	O14764
DB00349	P78334
DB00349	Q8N1C3
DB00349	P18507
DB00349	Q99928
DB00349	O00591
DB00349	Q9UN88
DB00350	P48048
DB00350	P23219
DB00350	P00797
DB00351	P06401
DB00351	P04150
DB00353	P21728
DB00353	P41595
DB00354	P35367
DB00354	P11229
DB00356	Q12791
DB00357	P11511
DB00357	P05108
DB00358	P69905
DB00358	P29274
DB00360	P00439
DB00360	P29474
DB00360	P07101
DB00360	P17752
DB00361	P07437
DB00363	P14416
DB00363	P28223
DB00363	P21728
DB00363	P35462
DB00363	P21917
DB00363	P08908
DB00363	P28222
DB00363	P28221
DB00363	P28566
DB00363	P28335
DB00363	P46098
DB00363	P50406
DB00363	P34969
DB00363	P35367
DB00363	Q9H3N8
DB00363	P35348
DB00363	P35368
DB00363	P08913
DB00363	P18089
DB00363	P18825
DB00363	P11229
DB00363	P08172
DB00363	P20309
DB00363	P08173
DB00363	P08912
DB00363	Q9NYX4
DB00363	P09211
DB00364	P09038
